,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel
normal,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5
fire,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2
water,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1
electric,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1
grass,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5
ice,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5
fighting,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2
poison,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0
ground,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2
flying,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5
psychic,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5
bug,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5
rock,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5
ghost,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,0.5
dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5
dark,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,0.5
steel,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5
